category,title,price,imgUrl
dune,AURA AGATE GLASS 25х75 D971,7231,"https://bomondceramica.ru/upload/resize_cache/iblock/0d1/260_200_140cd750bba9870f18aada2478b24840a/3a8145cd-a346-11e1-95b1-00226489cc0d_0efd2629-98d0-11e9-80d3-d094661ebf6d.resize1.jpeg,https://bomondceramica.ru/upload/iblock/022/43bc63fb-028c-11e9-80bc-d094661ebf6c_bbc3cdc8-3843-11ea-80e0-d094661ebf6c.jpeg,https://bomondceramica.ru/upload/resize_cache/iblock/f75/250_150_240cd750bba9870f18aada2478b24840a/43bc63fb-028c-11e9-80bc-d094661ebf6c_bbc3cdc9-3843-11ea-80e0-d094661ebf6c.jpeg,https://bomondceramica.ru/upload/iblock/022/43bc63fb-028c-11e9-80bc-d094661ebf6c_bbc3cdc8-3843-11ea-80e0-d094661ebf6c.jpeg"
dune,ACANTO 60x60 D-962,4731,"https://bomondceramica.ru/upload/resize_cache/iblock/0d1/260_200_140cd750bba9870f18aada2478b24840a/3a8145cd-a346-11e1-95b1-00226489cc0d_0efd2629-98d0-11e9-80d3-d094661ebf6d.resize1.jpeg,https://bomondceramica.ru/upload/iblock/022/43bc63fb-028c-11e9-80bc-d094661ebf6c_bbc3cdc8-3843-11ea-80e0-d094661ebf6c.jpeg,https://bomondceramica.ru/upload/resize_cache/iblock/f75/250_150_240cd750bba9870f18aada2478b24840a/43bc63fb-028c-11e9-80bc-d094661ebf6c_bbc3cdc9-3843-11ea-80e0-d094661ebf6c.jpeg,https://bomondceramica.ru/upload/iblock/022/43bc63fb-028c-11e9-80bc-d094661ebf6c_bbc3cdc8-3843-11ea-80e0-d094661ebf6c.jpeg"
dune,NATASHA 25x75 D-916,1383,"https://bomondceramica.ru/upload/resize_cache/iblock/0d1/260_200_140cd750bba9870f18aada2478b24840a/3a8145cd-a346-11e1-95b1-00226489cc0d_0efd2629-98d0-11e9-80d3-d094661ebf6d.resize1.jpeg,https://bomondceramica.ru/upload/iblock/022/43bc63fb-028c-11e9-80bc-d094661ebf6c_bbc3cdc8-3843-11ea-80e0-d094661ebf6c.jpeg,https://bomondceramica.ru/upload/resize_cache/iblock/f75/250_150_240cd750bba9870f18aada2478b24840a/43bc63fb-028c-11e9-80bc-d094661ebf6c_bbc3cdc9-3843-11ea-80e0-d094661ebf6c.jpeg,https://bomondceramica.ru/upload/iblock/022/43bc63fb-028c-11e9-80bc-d094661ebf6c_bbc3cdc8-3843-11ea-80e0-d094661ebf6c.jpeg"
